X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.57742032428466,6.194014050101242,680459.0,1645506.0,10.0,2018.0,1422.0,3.0,10.0,14.0,1.0,2.0,1.0,0
-75.57556407118695,6.27110119384733,669071.0,1636172.0,28.0,2018.0,517.0,6.0,7.0,5.0,3.0,1.0,4.0,0
-75.56378876426984,6.262305826345665,665298.0,1630380.0,7.0,2018.0,1001.0,4.0,6.0,10.0,1.0,2.0,1.0,0
-75.58272050450174,6.231784533967401,563886.0,1623422.0,12.0,2018.0,1502.0,4.0,4.0,15.0,2.0,1.0,1.0,1
-75.59529962227664,6.2694729599349595,664166.0,1631229.0,15.0,2018.0,1114.0,5.0,6.0,11.0,1.0,2.0,1.0,0
-75.58376787283005,6.225605606718483,679252.0,1649428.0,13.0,2018.0,1503.0,2.0,11.0,15.0,1.0,2.0,1.0,0
-75.57326420188376,6.294428543851423,684261.0,1652342.0,6.0,2018.0,511.0,4.0,12.0,5.0,1.0,1.0,6.0,0
-75.57297645856876,6.207890627306093,554560.0,1615755.0,8.0,2018.0,1420.0,4.0,2.0,14.0,1.0,1.0,1.0,1
-75.5745277806841,6.246080173045852,555041.0,1615066.0,2.0,2018.0,1007.0,5.0,2.0,10.0,6.0,2.0,1.0,1
-75.60068811550293,6.231171580912862,669839.0,1635013.0,17.0,2018.0,1603.0,2.0,7.0,16.0,4.0,2.0,1.0,0
