;Longitude;Latitude;
75°33'52.365W,6°16'28.792N;-75.5645458;6.2746644;
75°34'3.546W,6°16'25.675N;-75.5676517;6.2737986;
75°33'54.246W,6°16'19.838N;-75.5650683;6.2721772;
75°33'44.552W,6°16'21.144N;-75.5623756;6.27254;
75°33'56.409W,6°16'18.456N;-75.5656692;6.2717933;
75°33'18.442W,6°16'22.795N;-75.5551228;6.2729986;
75°33'19.639W,6°16'16.767N;-75.5554553;6.2713242;
75°33'29.913W,6°16'18.538N;-75.5583092;6.2718161;
75°33'21.300W,6°16'7.284N;-75.5559167;6.26869;
75°33'31.690W,6°16'8.013N;-75.5588028;6.2688925;
75°33'22.227W,6°16'0.285N;-75.5561742;6.2667458;
75°33'22.420W,6°15'52.714N;-75.5562278;6.2646428;
75°33'23.598W,6°15'47.665N;-75.556555;6.2632403;
75°33'47.641W,6°15'52.311N;-75.5632336;6.2645308;
75°33'45.324W,6°15'55.497N;-75.56259;6.2654158;
75°33'55.096W,6°16'10.317N;-75.5653044;6.2695325;
75°33'58.881W,6°16'9.895N;-75.5663558;6.2694153;
75°34'0.967W,6°16'2.293N;-75.5669353;6.2673036;
75°33'56.988W,6°16'1.832N;-75.56583;6.2671756;
75°33'57.606W,6°15'58.607N;-75.5660017;6.2662797;
75°34'59.898W,6°11'45.099N;-75.583305;6.1958608;
75°35'5.884W,6°11'46.826N;-75.5849678;6.1963406;
75°35'15.618W,6°11'49.246N;-75.5876717;6.1970128;
75°35'3.799W,6°12'3.645N;-75.5843886;6.2010125;
75°35'24.385W,6°11'49.246N;-75.5901069;6.1970128;
75°35'23.524W,6°11'51.165N;-75.5898678;6.1975458;
75°35'20.137W,6°13'58.538N;-75.5889269;6.2329272;
75°35'18.456W,6°12'18.351N;-75.58846;6.2050975;
75°35'21.160W,6°12'26.261N;-75.5892111;6.2072947;
75°35'27.494W,6°12'29.333N;-75.5909706;6.2081481;
75°35'40.878W,6°12'37.204N;-75.5946883;6.2103344;
75°35'41.805W,6°12'38.970N;-75.5949458;6.210825;
75°35'12.203W,6°12'46.146N;-75.5867231;6.2128183;
75°35'37.811W,6°12'48.603N;-75.5938364;6.2135008;
75°35'35.667W,6°12'59.893N;-75.5932408;6.2166369;
75°35'32.809W,6°13'13.638N;-75.5924469;6.220455;
75°35'32.152W,6°13'17.017N;-75.5922644;6.2213936;
75°35'31.187W,6°13'22.162N;-75.5919964;6.2228228;
75°35'30.067W,6°13'27.959N;-75.5916853;6.2244331;
75°35'27.595W,6°13'36.445N;-75.5909986;6.2267903;
75°35'28.831W,6°13'43.779N;-75.5913419;6.2288275;
75°35'29.024W,6°13'45.430N;-75.5913956;6.2292861;
75°35'24.814W,6°13'53.608N;-75.5902261;6.2315578;
75°35'14.192W,6°13'53.915N;-75.5872756;6.2316431;
75°35'16.452W,6°12'37.295N;-75.5879033;6.2103597;
75°35'9.963W,6°12'24.394N;-75.5861008;6.2067761;
75°35'11.469W,6°12'19.364N;-75.5865192;6.2053789;
75°35'2.663W,6°12'21.552N;-75.5840731;6.2059867;
75°34'55.556W,6°12'18.365N;-75.5820989;6.2051014;
75°34'48.488W,6°12'10.762N;-75.5801356;6.2029894;
75°34'57.874W,6°13'59.962N;-75.5827428;6.2333228;
75°34'57.990W,6°13'55.432N;-75.582775;6.2320644;
75°34'57.835W,6°13'51.531N;-75.5827319;6.2309808;
75°34'46.480W,6°13'58.810N;-75.5795778;6.2330028;
75°34'47.271W,6°13'54.165N;-75.5797975;6.2317125;
75°34'40.512W,6°13'57.620N;-75.57792;6.2326722;
75°34'35.819W,6°13'53.934N;-75.5766164;6.2316483;
75°34'38.600W,6°13'54.798N;-75.5773889;6.2318883;
75°34'42.038W,6°13'33.181N;-75.5783439;6.2258836;
75°35'0.886W,6°13'36.023N;-75.5835794;6.2266731;
75°34'46.171W,6°13'22.123N;-75.5794919;6.2228119;
75°34'50.844W,6°13'3.386N;-75.58079;6.2176072;
75°35'3.706W,6°13'21.931N;-75.5843628;6.2227586;
75°35'2.012W,6°12'41.299N;-75.5838922;6.2114719;
75°34'48.223W,6°12'51.321N;-75.5800619;6.2142558;
75°34'8.002W,6°14'26.597N;-75.5688894;6.2407214;
75°34'9.084W,6°14'12.468N;-75.56919;6.2367967;
75°34'12.058W,6°14'12.737N;-75.5700161;6.2368714;
75°34'13.680W,6°14'12.043N;-75.5704667;6.2366786;
75°34'12.714W,6°14'4.328N;-75.5701983;6.2345356;
75°34'11.826W,6°13'52.425N;-75.5699517;6.2312292;
75°34'10.976W,6°13'45.514N;-75.5697156;6.2293094;
75°34'14.723W,6°13'42.558N;-75.5707564;6.2284883;
75°34'17.002W,6°13'44.593N;-75.5713894;6.2290536;
75°34'23.394W,6°13'49.335N;-75.573165;6.2303708;
75°34'27.913W,6°13'54.096N;-75.5744203;6.2316933;
75°34'25.982W,6°13'58.357N;-75.5738839;6.2328769;
75°34'27.990W,6°13'54.038N;-75.5744417;6.2316772;
75°34'28.763W,6°13'58.146N;-75.5746564;6.2328183;
75°34'29.496W,6°14'1.947N;-75.57486;6.2338742;
75°34'30.462W,6°14'5.403N;-75.5751283;6.2348342;
75°34'21.965W,6°14'6.977N;-75.5727681;6.2352714;
